"mobile_carrier_id","carrier_name"
70000,"NTT DoCoMo"
70001,"KDDI/au"
70002,"Vodafone"
70003,"EMOBILE"
70004,"WILLCOM"
70030,"T-Mobile"
70031,"Vodafone"
70032,"E-Plus"
70033,"O2"
70059,"SuperCarrier"
70060,"T-Mobile"
70061,"Vodafone"
70062,"O2"
70063,"EE"
70064,"Hutchinson"
70065,"RIM"
70089,"SuperCarrier"
70090,"AT&T"
70091,"Sprint"
70092,"Verizon"
70093,"T-Mobile"
70094,"Nextel"
70095,"Metro PCS"
70096,"Cricket Communications"
70097,"Cellular South"
70098,"Charter"
70099,"Cincinnati Bell"
70100,"ClearSky Mobile Media"
70101,"Ntelos"
70102,"RIM"
70103,"UUnet (ISP)"
70104,"Union"
70105,"Virgin Mobile US"
70106,"WDSPCO"
70107,"C Spire"
70119,"SuperCarrier"
70120,"China Mobile"
70121,"China Telecom"
70122,"UCweb"
70123,"UNICOM"
70149,"SuperCarrier"
70150,"Telecom Italia"
70151,"Vodafone"
70152,"WIND"
70153,"3"
70154,"Fastweb"
70179,"SuperCarrier"
70180,"Orange"
70181,"SFR"
70182,"Bouygues Telecom"
70183,"Free Mobile"
70209,"SuperCarrier"
70210,"Airtel"
70211,"Vodafone"
70212,"BSNL"
70213,"IDEA"
70214,"VSNL/Tata"
70215,"Dishnet Wireless"
70218,"TATA DOCOMO"
70219,"MTNL"
70221,"Orange"
70222,"RIM"
70223,"Telia"
70224,"uninor"
70225,"Reliance"
70226,"Aircel"
70239,"SuperCarrier"
70240,"O2"
70241,"Meteor"
70242,"Vodafone"
70243,"Eircom"
70269,"SuperCarrier"
70270,"Optus Mobile"
70271,"Telstra"
70272,"Vodafone"
70273,"3"
70275,"Virgin Mobile AU"
70299,"SuperCarrier"
70300,"Proximus"
70301,"BASE"
70302,"Mobistar"
70329,"SuperCarrier"
70330,"Telefonica"
70331,"Vodafone"
70332,"Orange"
70333,"Yoigo"
70334,"Euskaltel"
70335,"Jazztel"
70359,"SuperCarrier"
70360,"KPN"
70361,"Vodafone"
70362,"T-Mobile"
70364,"Tele2"
70389,"SuperCarrier"
70390,"Swisscom"
70391,"Orange"
70392,"Sunrise"
70419,"SuperCarrier"
70420,"Vodafone"
70421,"Cosmote"
70422,"Wind"
70449,"SuperCarrier"
70450,"VimpelCom"
70451,"MegaFon"
70452,"Mobile Telesystems Ojsc"
70453,"Tele 2"
70454,"Baykalwestcom"
70455,"MTS"
70456,"NCC"
70457,"Nizhegorodskaya Cellular Communications"
70458,"SKYLINK"
70459,"Tele2"
70460,"Utel"
70479,"SuperCarrier"
70480,"Tele 2"
70482,"Vodafone"
70483,"3"
70484,"Telia"
70485,"Telenor"
70509,"SuperCarrier"
70510,"T-Mobile"
70511,"Vodafone"
70512,"Pannon"
70539,"SuperCarrier"
70540,"SK Telecom"
70541,"LG Telecom"
70542,"KT"
70569,"SuperCarrier"
70599,"SuperCarrier"
70600,"Vodafone"
70601,"TMN"
70602,"Optimus"
70629,"SuperCarrier"
70630,"TDC"
70631,"SONOFON"
70633,"Telia"
70634,"3"
70659,"SuperCarrier"
70660,"T-Mobile"
70661,"Orange"
70662,"A1"
70663,"3"
70664,"Tele2"
70689,"SuperCarrier"
70690,"SingTel"
70691,"M1"
70692,"StarHub"
70719,"SuperCarrier"
70720,"Long Distance & Mobile Business Group"
70721,"Taiwan Mobile"
70722,"Far EasTone"
70723,"CHT"
70724,"Vibo"
70749,"SuperCarrier"
70750,"Rogers"
70751,"Telus"
70752,"Bell Canada"
70753,"RIM"
70754,"SaskTel"
70755,"Videotron"
70756,"WIND"
70757,"Mobilicity"
70758,"MTS"
70779,"SuperCarrier"
70780,"Radiolinja"
70781,"DNA"
70782,"TS Finland DataNet"
70783,"Sonera"
70809,"SuperCarrier"
70810,"VodaCom"
70811,"MTN"
70812,"Cell C"
70813,"Vodafone"
70814,"Neotel"
70815,"Telkom"
70839,"SuperCarrier"
70840,"Telenor"
70841,"NetCom"
70842,"Mobile Norway"
70843,"Opera Mini"
70844,"Ventelo"
70869,"SuperCarrier"
70870,"Plus GSM"
70871,"PKT Centertel (Orange)"
70872,"Project 4"
70873,"Polkomtel"
70874,"Plus"
70875,"Eranet"
70876,"Play"
70899,"SuperCarrier"
70900,"du"
70901,"Etisalat"
70930,"Claro"
70931,"movistar"
70932,"Personal"
70933,"Nextel"
70960,"Claro"
70961,"Oi"
70962,"TIM"
70963,"Vivo"
70964,"CTBC"
70990,"Claro"
70991,"Entel"
70992,"movistar"
71020,"Comcel"
71021,"movistar"
71022,"Tigo"
71023,"EPM"
71050,"O2"
71051,"T-Mobile"
71052,"Vodafone"
71053,"U:fon"
71080,"3"
71081,"PCCW Mobile"
71082,"SmarTone"
71110,"3"
71111,"Axis"
71112,"Indosat"
71113,"Telkomsel"
71114,"XL"
71115,"Bite"
71116,"Comcel"
71117,"Orange"
71118,"Smart"
71119,"Superonline"
71120,"TDC"
71121,"TELEKOMMobile"
71122,"Tele2"
71123,"Telenor"
71124,"Telia"
71125,"Vodafone"
71140,"Iusacell"
71141,"movistar"
71142,"Nextel"
71143,"Telcel"
71170,"Celcom"
71171,"DiGi"
71172,"Maxis"
71200,"Glo Mobile"
71201,"MTN"
71202,"Starcomms"
71203,"Visafone"
71204,"Etisalat"
71205,"GSTelecom"
71206,"Zain"
71207,"Zoom"
71230,"2degrees"
71231,"Telecom Xtra"
71232,"Vodafone"
71233,"Telecom"
71234,"TelstraClear"
71260,"Globe"
71261,"Smart"
71290,"Mobitel"
71291,"Tusmobil"
71320,"AIS"
71321,"dtac"
71322,"Hutch"
71323,"True Move"
71324,"Mfone"
71325,"Thai Mobile"
71326,"True"
71350,"Avea"
71351,"Turkcell"
71352,"Vodafone"
71353,"TurkTelecom"
71380,"IranCell"
71410,"JAWWAL"
71440,"Orange"
71441,"Cellcom"
71442,"Pelephone"
71443,"Mirs"
71444,"Golan Telecom"
71470,"Vietel"
71471,"Beeline"
71472,"Vinaphone"
71473,"MobiFone"
71474,"Vietnamobile"
71500,"Vodafone"
71501,"Etisalat"
71502,"Mobinil"
71530,"Safaricom"
71531,"Orange"
71560,"Zantel"
71561,"VodaCom"
71562,"Zain"
71590,"Vodafone"
71591,"Qtel"
71620,"Batelco"
71621,"Zain"
71622,"Viva"
71650,"Zain"
71651,"Wataniya"
71652,"Viva"
71680,"Al Jawal"
71681,"Mobily"
71682,"Zain"
71710,"Kyivstar"
71711,"MTS"
71712,"life:)"
71713,"Utel"
71740,"movistar"
71741,"Nextel"
71742,"Claro"
71770,"Movilnet"
71771,"movistar"
71772,"Digitel"
71800,"Ancel"
71830,"movistar"
71831,"Porta"
71860,"Cable & Wireless"
71890,"Claro"
71891,"movistar"
71920,"ICE"
71950,"Claro"
71951,"Orange"
71980,"Orange"
71981,"Tele 2"
71982,"Claro"
71983,"Loop Mobile"
71984,"Hutchinson"
71985,"Vipnet"
71986,"Globul"
71987,"Bite"
71988,"Tele 2"
71989,"Luxgsm"
71990,"Elisa"
71991,"Vodafone Qatar"
71992,"Open Mobile"
71993,"Qatarnet"
71994,"M Tel"
71995,"T-Mobile"
71996,"Moldcell"
71997,"Bite"
71998,"Emt"
71999,"Tele 2"
72000,"Voxmobile"
72001,"Vodafone"
72002,"Orange"
72003,"Zain Kw"
72004,"Tele 2"
72005,"Claro"
72006,"Tele 2"
72007,"Tele 2"
72008,"Iam"
72009,"Meditel"
